internalTaxonId,scientificName,name,language,main
39332,Squatina squatina,Martrame,French,false
39332,Squatina squatina,Meerengel,German,false
39332,Squatina squatina,Mermejuela,Spanish; Castilian,false
39332,Squatina squatina,Mordacle,French,false
39332,Squatina squatina,Pardon,Spanish; Castilian,false
39332,Squatina squatina,Peixe Anjo,Portuguese,false
39332,Squatina squatina,Pesce Angelo,Italian,false
39332,Squatina squatina,Pescio Angeo,Italian,false
39332,Squatina squatina,Pesciu Anghjulu,Corsican,false
39332,Squatina squatina,Pez Angel,Spanish; Castilian,false
39332,Squatina squatina,Razzu,Corsican,false
39332,Squatina squatina,Rina,Italian,false
39332,Squatina squatina,Sgheru,Corsican,false
39332,Squatina squatina,Sguaru,Corsican,false
39332,Squatina squatina,Sklat,Croatian,false
39332,Squatina squatina,Sokot,Croatian,false
39332,Squatina squatina,Squadro,Italian,false
39332,Squatina squatina,Squadro Bianco,Italian,false
39332,Squatina squatina,Squadrolino,Italian,false
39332,Squatina squatina,Squadro Pelle Nera,Italian,false
39332,Squatina squatina,Squadro Pelle Rossa,Italian,false
39332,Squatina squatina,Squadru,Italian,false
39332,Squatina squatina,Squaéna,Italian,false
39332,Squatina squatina,Squaléna,Italian,false
39332,Squatina squatina,Squatine Occelee,French,false
39332,Squatina squatina,Squatronu,Corsican,false
39332,Squatina squatina,Squatru,Italian,false
39332,Squatina squatina,Squatru Cefalu,Italian,false
39332,Squatina squatina,Terrezzino,Italian,false
39332,Squatina squatina,Viola,Portuguese,false
39332,Squatina squatina,Violin,Italian,false
39332,Squatina squatina,Αγγελοκαρχαρίας-Ρίνα,"Greek, Modern (1453-)",false
39332,Squatina squatina,Angelshark,English,true
86091382,Sorbus evansii,Evans's Whitebeam,English,true
202914,Aesculus hippocastanum,Castanheiro da Índia,Portuguese,false
202914,Aesculus hippocastanum,Horse Chestnut,English,true
123669218,Nothogeophilus turki,Turk's Earth Centipede,English,true
123670403,Psylliodes luridipennis,Bronze Lundy Cabbage Flea Beetle,English,false
123670403,Psylliodes luridipennis,Lundy Cabbage Flea Beetle,English,true
123671000,Thinobius newberyi,Newbery's Rove Beetle,English,true
123672002,Cixius caledonicus,Caledonian Planthopper,English,true
123672975,Ceratophyllus fionnus,Manx Shearwater Flea,English,true
22935,Vertigo angustior,Narrow Mouthed Whorl Snail,English,false
22935,Vertigo angustior,Narrow-mouthed Whorl Snail,English,true
22939,Vertigo moulinsiana,Desmoulin's Whorl Snail,English,true
11206,Lampetra fluviatilis,Elveniøye,Norwegian,false
11206,Lampetra fluviatilis,Euroopa jõesilm,Estonian,false
11206,Lampetra fluviatilis,Flodnejonöga,Swedish,false
11206,Lampetra fluviatilis,Flussneunauge,German,false
11206,Lampetra fluviatilis,Lampreia-do-rio,Portuguese,false
11206,Lampetra fluviatilis,Lamproie de rivière,French,false
11206,Lampetra fluviatilis,Llysywen Bendoll yr Afon,Welsh,false
11206,Lampetra fluviatilis,Mihule říční,Czech,false
11206,Lampetra fluviatilis,Minóg rzeczny,Polish,false
11206,Lampetra fluviatilis,Nahkiainen,Finnish,false
11206,Lampetra fluviatilis,Rivierprik,Dutch; Flemish,false
11206,Lampetra fluviatilis,Upes nēģis,Latvian,false
11206,Lampetra fluviatilis,Upinė nėgė,Lithuanian,false
11206,Lampetra fluviatilis,Мінога рачная,Belarusian,false
11206,Lampetra fluviatilis,Речная минога,Russian,false
11206,Lampetra fluviatilis,European River Lamprey,English,true
11213,Lampetra planeri,Bachneunauge,German,false
11213,Lampetra planeri,Bäcknejonöga,Swedish,false
11213,Lampetra planeri,Bæklampret,Danish,false
11213,Lampetra planeri,Beekprik,Dutch; Flemish,false
11213,Lampetra planeri,Bekkeniøye,Norwegian,false
11213,Lampetra planeri,Lampreda di Ruscello,Italian,false
11213,Lampetra planeri,Lampreia-de-riacho,Portuguese,false
11213,Lampetra planeri,Lamproie de Planer,French,false
11213,Lampetra planeri,Mažoji nėgė,Lithuanian,false
11213,Lampetra planeri,Mihuľa potočná,Slovak,false
11213,Lampetra planeri,Mihule potoční,Czech,false
11213,Lampetra planeri,Minóg strumieniowy,Polish,false
11213,Lampetra planeri,Ojasilm,Estonian,false
11213,Lampetra planeri,Pikkunahkiainen,Finnish,false
11213,Lampetra planeri,Strauta nēģis,Latvian,false
11213,Lampetra planeri,Европейская ручьевая минога,Russian,false
11213,Lampetra planeri,Мінога ручаёвая еўрапейская,Belarusian,false
11213,Lampetra planeri,Мінога струмкова,Ukrainian,false
11213,Lampetra planeri,European Brook Lamprey,English,true
135518,Coregonus pennantii,Gwyniad,Welsh,false
135518,Coregonus pennantii,Welsh Whitefish,English,true
135566,Coregonus clupeoides,Scottish Whitefish,English,false
135566,Coregonus clupeoides,Powan,Scots,true
135640,Coregonus vandesius,Vendace,English,true
135701,Coregonus stigmaticus,Schelly,English,true
135412,Salvelinus gracillimus,Shetland Charr,English,true
135415,Salvelinus killinensis,Haddy,Gaelic; Scottish Gaelic,false
135415,Salvelinus killinensis,Killin Charr,English,true
135417,Salvelinus lonsdalii,Lonsdale’s Charr,English,true
